items,levels
"{1: [1036, 2003, 2003, 2003, 3340, 3133, 2031, 3105, 1053], 2: [1039, 2031, 3340, 3364, 1402, 1001, 2055, 2055], 3: [3340, 2033, 1082, 1052, 1004, 3145, 1001], 4: [3858, 2003, 2003, 3340, 1001, 1029, 3047], 5: [1055, 2003, 3340, 3006, 1036, 2055, 2003, 1053, 1036, 2055], 6: [1055, 2003, 3340, 3133, 1018], 7: [2033, 3340, 1082, 3070, 3010], 8: [3854, 2003, 2003, 3340, 1001, 1029, 2055, 2003, 2055, 2055], 9: [1041, 2031, 3340, 3364, 1082, 2055, 1039, 3706], 10: [2003, 3340, 1055, 2031, 3134, 1036, 1036, 1001]}","{1: 7, 2: 7, 3: 8, 4: 6, 5: 6, 6: 7, 7: 8, 8: 6, 9: 5, 10: 8}"
"{1: [1039, 2031, 3340, 3364, 3706, 1082, 2055, 1052, 2055, 2055, 3108], 2: [3340, 2033, 3134, 1036, 1001], 3: [3850, 2003, 2003, 3340, 1001, 1052, 2055], 4: [2033, 3340, 2055, 3076, 1001, 1028], 5: [1054, 2003, 3340, 3070, 2031, 1037, 1042, 1001], 6: [2003, 1056, 2003, 3340, 1056, 1001, 2055, 3802, 2055, 2003], 7: [1055, 2003, 3340, 1053, 1001, 2055, 3006, 3144, 1042], 8: [1041, 2031, 3340, 3364, 3706, 1036, 1001], 9: [3858, 2003, 2003, 3340, 1052, 1001, 3113, 3111, 1004, 2055, 3364], 10: [2033, 3340, 1027, 1083, 2055, 3057, 1001, 1033, 2055, 3111, 2055]}","{1: 7, 2: 8, 3: 6, 4: 8, 5: 7, 6: 8, 7: 7, 8: 6, 9: 6, 10: 8}"
"{1: [1056, 2003, 2003, 1052, 2015, 1001], 2: [1041, 2031, 3340, 3364, 1400, 2055, 1001, 1028, 2055], 3: [2033, 1036, 1036, 2055, 1001, 1036, 1036], 4: [1056, 2003, 2003, 3340, 3802, 3111, 2055], 5: [3854, 3340, 2003, 2003, 1036, 1036, 2055, 1001, 3134, 2055, 2003], 6: [3850, 3340, 2003, 2003, 1001, 2055, 3801, 2003, 2003, 3114, 3364], 7: [1055, 3340, 2003, 1055, 1038, 2003, 1001, 3133, 1042], 8: [1054, 2003, 3340, 1053, 2055, 2055, 3144, 1001, 1043], 9: [1039, 2031, 3340, 3364, 3751, 1401, 1029], 10: [2033, 3340, 1082, 2055, 3145, 1001, 2055]}","{1: 6, 2: 8, 3: 6, 4: 9, 5: 6, 6: 6, 7: 7, 8: 7, 9: 6, 10: 7}"
"{1: [1056, 2003, 2003, 3340, 3108, 1042, 3101, 1001, 2055, 2031], 2: [1029, 2003, 2003, 2003, 2003, 1029, 1029, 3191, 3076, 2003], 3: [3850, 2003, 2003, 3340, 1082, 3041, 1042, 2015, 3145], 4: [1041, 2031, 3340, 3364, 3706, 1036, 3133, 1001, 1400, 3044], 5: [1055, 3340, 2003, 1055, 2031, 1001, 1036, 3133, 2055], 6: [1055, 2003, 3340, 1036, 2031, 1001, 1036, 1006, 3077, 1028, 3044], 7: [1054, 2003, 1053, 1001, 2031, 2055, 1052], 8: [1041, 2031, 3364, 3715, 1036, 1001, 2055, 3133], 9: [1055, 2003, 3340, 1001, 1042, 1042, 2003, 3006, 1055, 1043, 2003], 10: [3850, 2003, 2003, 3340, 2031, 1001, 2055, 3117, 3113, 3364, 1004, 2055, 3114, 2055]}","{1: 8, 2: 7, 3: 6, 4: 7, 5: 6, 6: 8, 7: 8, 8: 7, 9: 6, 10: 6}"
"{1: [1055, 2003, 3340, 1001, 1053, 2055, 2031, 3144], 2: [1056, 2003, 2003, 1052, 2031, 2055, 1028, 1001, 2055, 3136, 1042], 3: [1039, 2031, 1001, 3117, 1004, 2055, 3801], 4: [3858, 2003, 2003, 3340, 3117, 1029, 2055], 5: [1056, 2003, 2003, 3340, 1056, 1056, 2003, 3108, 1001, 1042], 6: [1041, 2031, 3340, 3706, 1001, 2055, 1033, 1400, 2055], 7: [2033, 3340, 1033, 2055, 3211, 1033, 1006, 2055, 1001], 8: [1056, 2003, 2003, 3340, 3802, 1001, 2031, 2055, 1026], 9: [3850, 2003, 2003, 3340, 3024, 1001, 2031, 2055, 3364, 3105], 10: [1055, 2003, 3340, 1038, 1036, 2055, 3133, 2055]}","{1: 6, 2: 8, 3: 7, 4: 6, 5: 8, 6: 6, 7: 8, 8: 9, 9: 7, 10: 6}"
"{1: [1056, 2003, 2003, 3010, 1082, 1026, 1001], 2: [2031, 1041, 3715, 1036, 1036, 1412, 1001, 3364], 3: [1055, 2003, 3340, 1055, 2031, 1053, 2055, 1038], 4: [3858, 2003, 2003, 3340, 1001, 3009, 2055, 1029, 2055, 2003], 5: [2033, 3340, 3076, 2055, 1001], 6: [3850, 2003, 2003, 3340, 1001, 1082, 2003, 2055, 3108], 7: [1055, 3340, 2003, 1036, 1036, 1042, 2003, 1001], 8: [2033, 3340, 3070, 2055, 1027, 1028, 3010, 1001], 9: [1039, 2031, 3340, 3364, 3715, 2055, 1052, 2055, 1414, 2055], 10: [2033, 3340, 1036, 1001, 1053, 1028, 1036]}","{1: 8, 2: 6, 3: 7, 4: 5, 5: 8, 6: 5, 7: 5, 8: 7, 9: 7, 10: 7}"
"{1: [2031, 1039, 3340, 3364, 3108, 1082, 2055, 1402, 1052], 2: [2033, 3751, 1029, 3068], 3: [3850, 2003, 2003, 3340, 2031, 1052, 3802, 2055, 2055], 4: [1054, 2003, 3340, 1053, 3144, 1043, 2055, 2003], 5: [2033, 3340, 1082, 1056, 3020, 1026], 6: [1055, 2003, 3340, 1036, 1036, 2003, 3006], 7: [3340, 2033, 1082, 1001, 3010, 1026], 8: [1041, 2031, 3340, 3133, 1001, 2055, 2055, 1400, 1028, 2055], 9: [3858, 2003, 2003, 3340, 3111, 3067, 2055, 2055], 10: [1036, 2003, 2003, 2003, 1055, 3133, 2031, 3067]}","{1: 7, 2: 8, 3: 6, 4: 6, 5: 7, 6: 7, 7: 8, 8: 7, 9: 6, 10: 7}"
"{1: [3340, 3854, 2003, 2003, 2055, 1001, 3117, 2055, 2055], 2: [2003, 1055, 1001, 1055, 2003, 1037, 1004], 3: [1041, 3340, 2031, 3364, 3706, 1001, 1036, 1036, 2055], 4: [1054, 3340, 2003, 3191, 1052, 2031, 3108, 1028], 5: [2033, 3340, 1033, 1082, 1052, 3802, 1001, 2055], 6: [2033, 3364, 3340, 1082, 1052, 3364, 2055, 3057], 7: [2033, 3340, 1027, 1001, 2055, 1083, 3057, 2055, 3123], 8: [2031, 1039, 3340, 3364, 1082, 1052, 3108, 1001, 2055, 3706, 2055], 9: [3854, 2003, 2003, 3340, 1001, 2055, 3117], 10: [1055, 3340, 1001, 2003, 2003, 2003, 2031, 1053, 2055]}","{1: 5, 2: 6, 3: 7, 4: 8, 5: 8, 6: 7, 7: 8, 8: 7, 9: 6, 10: 7}"
"{1: [3850, 2003, 2003, 3340, 1028, 2055, 3114, 3801, 1001, 2055], 2: [1055, 2003, 3340, 1055, 2003, 2055, 2031, 3006, 1036, 1053], 3: [1039, 2031, 3340, 3364, 3706, 1028, 2055, 2055, 1001, 3751], 4: [1054, 2003, 3340, 1052, 1001, 3136, 1052, 3111], 5: [2033, 3340, 1001, 3111, 2055, 1036, 2010, 2010, 3077, 1028, 1036], 6: [3858, 2003, 2003, 3364, 1001, 2055, 2055, 1004, 3117], 7: [1055, 2003, 3340, 1055, 2003, 1038, 3508], 8: [2033, 3340, 1082, 3802, 1001, 2055, 1052, 2055, 1052, 2055, 3364], 9: [2033, 3340, 1055, 2055, 1036, 1042, 1028], 10: [1039, 2031, 3340, 3715, 1001, 1036, 2055, 1412, 2055]}","{1: 6, 2: 6, 3: 6, 4: 8, 5: 8, 6: 6, 7: 7, 8: 8, 9: 7, 10: 8}"
"{1: [3340, 1056, 2003, 2003, 1027, 1052, 1026], 2: [1041, 2031, 3340, 3715, 1036, 2055, 1412, 2055, 3067, 1001, 1029, 2055], 3: [2003, 1055, 3057, 2003, 2055, 1027], 4: [2033, 3340, 3751, 1028, 1033, 3211, 1001], 5: [3850, 2003, 2003, 3340, 1004, 1004, 2003, 2055, 1001, 2003, 2055, 3113], 6: [1055, 2003, 1055, 2003, 1036, 3123, 1036, 2003, 2055], 7: [1041, 2031, 3340, 3364, 1413, 2055, 1001, 1029, 2055, 3047, 1029], 8: [2033, 3340, 1056, 1036], 9: [3854, 2003, 2003, 3340, 1001, 1036, 2055, 3117, 2031], 10: [1054, 2003, 3340, 3145, 1053, 1001, 2055, 3144]}","{1: 7, 2: 7, 3: 7, 4: 7, 5: 6, 6: 6, 7: 6, 8: 8, 9: 5, 10: 9}"
"{1: [1041, 2031, 3340, 3715, 1036, 1036, 2055, 3364, 1412, 1001], 2: [3858, 2003, 2003, 3340, 1001, 2031, 2055, 1004, 1029, 2055, 2055, 3158, 2055, 3364], 3: [1055, 2003, 3340, 1037, 1001, 2003, 1037, 3070, 2003], 4: [3340, 3340, 1054, 2003, 3340, 2003, 2003, 1055, 1036, 1036, 1053, 1029, 2031], 5: [1056, 2003, 2003, 1082, 1052, 2055, 3802, 2003, 1052, 2031, 2055], 6: [3858, 2003, 2003, 3340, 1001, 2055, 2031, 2055, 2055, 3117, 2055], 7: [1055, 2003, 3340, 1042, 1042, 2003, 2031, 2055, 1043, 1053], 8: [2033, 1082, 1042, 1052, 1001, 3108], 9: [1055, 2003, 3133, 2055, 1001], 10: [1039, 2031, 3340, 3364, 1001, 1041, 3715, 1029, 3751]}","{1: 6, 2: 5, 3: 7, 4: 8, 5: 8, 6: 6, 7: 8, 8: 7, 9: 6, 10: 6}"
"{1: [3340, 3858, 2003, 2003, 1001, 1033, 2055, 2031, 1029, 2055], 2: [1055, 2003, 3340, 3006, 1055, 1042, 2003, 1042, 2055], 3: [3340, 2031, 1039, 3715, 1001, 1029, 3364, 3751, 2055, 2055], 4: [2003, 1056, 3340, 2003, 1052, 1052, 2055, 3802, 1052, 3145], 5: [1056, 2003, 3340, 2003, 1052, 1001, 3101, 3108, 1082], 6: [3340, 2003, 1054, 1053, 1001, 3111, 3144, 2031], 7: [3850, 2003, 2003, 1001, 2055, 2055, 2003, 3117, 1029, 1028, 2055, 2055, 3364], 8: [1056, 2003, 2003, 3340, 1082, 2055, 3802, 1026, 2055], 9: [1036, 3364, 3364, 2003, 2003, 2003, 3340, 1052, 1001, 1052, 3145, 2031, 1053], 10: [2031, 1041, 3340, 1039, 1042, 3715, 1042, 1001, 1419]}","{1: 6, 2: 6, 3: 8, 4: 8, 5: 8, 6: 8, 7: 6, 8: 7, 9: 7, 10: 6}"
"{1: [1054, 2003, 3340, 1028, 1036, 1006, 2031], 2: [1054, 2003, 3340, 1036, 2031, 2055, 3134, 2055], 3: [1056, 2003, 2003, 3152, 2055], 4: [3858, 2003, 2003, 1004, 1004, 2055, 2003, 1052, 2031], 5: [1041, 2031, 3340, 3715, 1036, 2055, 1036, 1001, 3133, 2055], 6: [3340, 2003, 2003, 1056, 2031, 1001, 1052, 1026], 7: [1039, 2031, 3340, 3364, 1036, 3715, 3133, 2055, 1412], 8: [3850, 2003, 2003, 3340, 3111, 2055, 2003], 9: [2033, 3070, 1052, 3802, 1001], 10: [2033, 3340, 1036, 1036, 1001, 3134, 1036, 1036]}","{1: 8, 2: 6, 3: 9, 4: 5, 5: 6, 6: 8, 7: 7, 8: 6, 9: 8, 10: 7}"
"{1: [1041, 2031, 3340, 3715, 2055, 1001, 3077, 2055], 2: [3854, 2003, 2003, 3340, 3009, 2055, 2003, 3123], 3: [1055, 2003, 3340, 1037, 3070, 1001], 4: [2033, 3020, 2055, 1052, 1052], 5: [2033, 3340, 1027, 1082, 1052, 1029, 2055, 3802, 1052], 6: [3850, 2003, 2003, 3340, 3114, 2003, 2055, 1001, 2003], 7: [1055, 2003, 3340, 3006, 1042, 1042, 2003], 8: [1039, 2031, 3340, 3751, 1401, 3364, 2055], 9: [1056, 2003, 2003, 3340, 3196, 2055, 1001, 1027], 10: [2003, 1054, 3340, 3123, 1001, 2031, 1028, 1036]}","{1: 7, 2: 6, 3: 7, 4: 9, 5: 8, 6: 5, 7: 6, 8: 7, 9: 8, 10: 8}"
"{1: [1056, 2003, 2003, 3340, 3802, 1001, 1042, 2003, 2055], 2: [3340, 2003, 1056, 1056, 1082, 3067, 2003, 2003, 3111, 2055], 3: [1041, 2031, 3340, 3715, 1036, 2055, 2055], 4: [2031, 3340, 1036, 1037, 1036, 1001, 2055, 3077], 5: [3862, 2003, 2003, 3340, 2055, 1036, 3123, 1036, 1036, 2003, 3134, 2055, 2003, 3364], 6: [1056, 2003, 2003, 3802, 1056, 2055, 2003], 7: [1041, 2031, 3340, 3364, 3715, 3108, 1027], 8: [1055, 3340, 2003, 1055, 1004, 2055, 3070, 3004], 9: [3850, 2003, 2003, 3340, 1082, 2055, 1004, 1004, 2055, 3364, 3028], 10: [1054, 2003, 3340, 1001, 2003, 3047, 1028, 1036]}","{1: 8, 2: 7, 3: 7, 4: 8, 5: 5, 6: 8, 7: 7, 8: 6, 9: 5, 10: 7}"
"{1: [1039, 2031, 3340, 3364, 3706, 1001, 2055, 3751, 2055], 2: [3854, 2003, 2003, 3340, 1028, 2055, 1001], 3: [1055, 2003, 1042, 1001, 2031, 1055], 4: [2033, 3340, 1029, 2055, 1029, 3191], 5: [1055, 2003, 3340, 1036, 1036, 2003, 1053, 1036, 3077, 2031, 2055], 6: [3850, 2003, 2003, 3340, 3028, 1052, 2055, 2003], 7: [2033, 3340, 3123, 1055, 2055, 1036, 1001, 1053, 1036], 8: [1056, 2003, 2003, 3340, 3070, 2031, 2055, 3802], 9: [1039, 2031, 3340, 3364, 1041, 3715, 3133], 10: [1055, 2003, 3340, 1055, 2003, 1036, 2055, 2031, 3123, 1036, 1036]}","{1: 6, 2: 5, 3: 7, 4: 7, 5: 7, 6: 6, 7: 8, 8: 6, 9: 6, 10: 7}"
"{1: [1029, 2031, 3340, 1006, 1006, 1006, 1001, 1006, 3047, 1028], 2: [1054, 2003, 3340, 3101, 1001, 1036, 1028, 3123, 1029], 3: [3854, 2003, 2003, 3340, 1001, 2055, 1029, 2055, 2055], 4: [1055, 2003, 3340, 3057, 1027, 1004, 1001, 3070, 1028], 5: [1041, 2031, 3340, 3364, 1036, 1036, 2055, 3133, 2055, 3706, 1400, 1028, 2055], 6: [3340, 2003, 1055, 1055, 3133, 1038], 7: [2031, 1036, 3340, 1036, 2055, 3364, 3077, 1001, 1036, 3134], 8: [3854, 2003, 2003, 3340, 3117, 2055, 3801, 2055, 3364, 1029], 9: [2031, 1039, 3340, 3364, 1001, 1082, 3108, 1402], 10: [2033, 3340, 1036, 1028, 1001, 3044, 1028]}","{1: 8, 2: 8, 3: 6, 4: 6, 5: 7, 6: 6, 7: 7, 8: 6, 9: 8, 10: 8}"
"{1: [3850, 2003, 1001, 1027, 2003, 2055, 1004, 3070, 1052, 2055, 3364], 2: [1036, 2031, 3077, 1001, 3134, 2055, 3117, 1036, 3364], 3: [1039, 3340, 2031, 3715, 3108, 3364, 2055, 1414, 3020, 1082, 1052, 2055], 4: [1055, 2003, 3340, 3123, 2003, 1038], 5: [2033, 3340, 3076, 1029, 1001, 3751, 2055], 6: [3850, 2003, 2003, 3340, 2055, 3028, 2055, 2055, 1052], 7: [1041, 2031, 3340, 1039, 3706, 1052, 1001, 3364], 8: [1055, 2003, 3340, 2003, 3057, 1027, 1004, 2003, 3070], 9: [3340, 2003, 1055, 1083, 1036, 1036, 2031, 1083, 3077], 10: [1056, 2003, 2003, 3340, 1056, 1001, 2003, 1052, 2055, 2003, 1052, 2003, 3802, 2055]}","{1: 6, 2: 8, 3: 8, 4: 7, 5: 8, 6: 5, 7: 5, 8: 5, 9: 7, 10: 8}"
"{1: [3862, 2003, 2003, 3340, 1001, 2055, 2003, 3009, 1036, 1036, 2055], 2: [1039, 2031, 3340, 3364, 3715, 1052, 1082, 1414], 3: [1055, 2003, 3340, 1055, 2031, 2055, 1036, 1036, 1001], 4: [1055, 2003, 3340, 2003, 3077, 2031, 2055, 1036, 1028], 5: [2033, 3340, 3134, 3140, 3133], 6: [1056, 2003, 2003, 3340, 2003, 1052, 1052, 2003, 2003, 2055, 3802, 1026, 2003], 7: [1041, 3340, 2031, 1036, 2055, 3715, 1001, 1412, 1036, 2055], 8: [3850, 2003, 2003, 3340, 3070, 2003, 1001, 1052, 2055], 9: [3340, 3340, 3340, 3340, 1055, 2003, 3340, 3070, 1001, 2031, 2055, 3004], 10: [1054, 2003, 3340, 3047, 2031, 1042, 3101]}","{1: 7, 2: 7, 3: 6, 4: 7, 5: 8, 6: 8, 7: 6, 8: 6, 9: 6, 10: 8}"
"{1: [2033, 3340, 1006, 1036, 1036, 3077], 2: [1027, 2031, 3340, 3070, 1027, 1001, 3010, 1026], 3: [2033, 3340, 1036, 1036, 1004, 3134, 1036, 1036, 3179], 4: [3850, 2003, 3340, 3028, 1004, 2055, 1052, 2055, 2003, 3364, 3364, 3364], 5: [1041, 2031, 3340, 3706, 2055, 3364, 3133, 2055], 6: [3854, 2003, 2003, 3340, 1036, 1036, 2055, 2055, 2003, 2003, 3134], 7: [1055, 2003, 3340, 3076, 3044], 8: [1056, 3340, 2003, 2003, 3070, 1052, 2055, 3364], 9: [1039, 2031, 3706, 1036, 3364, 1001, 1036, 3133, 2055], 10: [3340, 1054, 2003, 1053, 1042, 3144, 1042, 2055]}","{1: 8, 2: 8, 3: 6, 4: 6, 5: 8, 6: 6, 7: 8, 8: 8, 9: 7, 10: 7}"
"{1: [1055, 3340, 2003, 3070, 1001, 2031, 3158, 3057], 2: [1055, 2003, 3340, 1053, 1036, 1042], 3: [1039, 2031, 3340, 3364, 3706, 1001, 1402], 4: [1056, 2003, 2003, 1056, 2031, 2055, 1082, 3101], 5: [3340, 3850, 2003, 2003, 2055, 2003, 2003, 3108, 1004, 1033], 6: [2033, 3340, 3134, 1036, 1004, 1036, 3179], 7: [1056, 2003, 2003, 3340, 1001, 1056, 1004, 2003, 3020, 2031], 8: [2031, 1041, 3340, 3364, 1036, 1006, 3077, 3706, 1036], 9: [1054, 2003, 3340, 1028, 1052, 2055, 1001], 10: [3340, 3340, 3854, 2003, 2003, 1001, 1052, 3113, 2003]}","{1: 6, 2: 9, 3: 7, 4: 8, 5: 6, 6: 6, 7: 8, 8: 6, 9: 8, 10: 6}"
"{1: [2033, 1036, 1036, 2055, 1001, 3123], 2: [3850, 2003, 2003, 3340, 1001, 1082, 2055, 1052, 2003], 3: [2033, 1054, 2055, 1001, 1042, 1033, 3111], 4: [2003, 1054, 3340, 1055, 1028, 1036, 2031], 5: [3340, 1041, 2031, 1036, 1036, 1036, 1006, 3364, 3077, 3134], 6: [2033, 3340, 3145, 2055, 3152, 1001, 2055], 7: [1054, 2003, 3340, 1004, 3057, 2055, 3070, 1037, 2055], 8: [1041, 2031, 3340, 3706, 1001, 3364, 3108, 1402], 9: [3850, 2003, 2003, 3340, 1004, 1004, 2055, 3028, 1052, 2055], 10: [1055, 2003, 3340, 1036, 2003, 2003, 3044, 2031, 1006]}","{1: 6, 2: 6, 3: 7, 4: 8, 5: 6, 6: 9, 7: 7, 8: 6, 9: 6, 10: 8}"
"{1: [2033, 3340, 1001, 1082, 2055, 1006, 1026, 1028, 3111], 2: [2033, 3340, 3057, 1028, 3044, 1042, 1042, 1001], 3: [3858, 2003, 2003, 3340, 1001, 1029, 2031, 2055, 1031, 1033], 4: [1039, 2031, 3340, 3108, 3715, 2055, 3364, 1414, 1082, 1052], 5: [1055, 2003, 3340, 1037, 2003, 1037, 2003], 6: [3858, 2003, 2003, 3340, 2031, 1004, 1001, 1029, 2055, 3067], 7: [1041, 2031, 3340, 1039, 3706, 1028, 3751, 2055, 1001], 8: [1055, 2003, 3340, 1055, 1036, 1036, 2031, 3006], 9: [1056, 2003, 2003, 3340, 1001, 1056, 1052, 3802], 10: [2003, 1054, 1033, 1028, 3211, 1001, 1028, 2031]}","{1: 8, 2: 8, 3: 6, 4: 8, 5: 6, 6: 5, 7: 6, 8: 6, 9: 8, 10: 8}"
"{1: [3854, 2003, 2003, 3340, 3009, 2055, 2031, 1028, 1029, 2055], 2: [2031, 1039, 3340, 3364, 3706, 1052, 1001, 1402, 2055, 2055], 3: [1055, 2003, 3340, 3044, 1001, 1028, 2003, 3067, 2055], 4: [1054, 2003, 3340, 3006, 2031, 1053, 2055], 5: [1056, 2003, 2003, 3340, 1052, 3145, 2003, 1001, 2055, 3020], 6: [1055, 3340, 2003, 1053, 2031, 2055, 1036], 7: [1041, 2031, 3340, 3364, 3715, 1001, 2055, 1052, 3108, 1052], 8: [1054, 2003, 3340, 1053, 2003, 2055, 3144, 1029], 9: [3340, 2003, 2003, 3850, 1052, 1004, 1004, 2055, 3114, 3113, 2055, 2003], 10: [2033, 3340, 1052, 1027, 1082, 3802, 1052, 2055, 3364, 3030, 2055]}","{1: 6, 2: 7, 3: 8, 4: 6, 5: 7, 6: 6, 7: 6, 8: 8, 9: 6, 10: 8}"
"{1: [3850, 2003, 2003, 3117, 2003, 1029, 2055, 2055], 2: [2033, 3111, 1036, 1036, 1006], 3: [3340, 2003, 1055, 1055, 1053, 1037], 4: [2033, 3340, 1082, 1001, 2055, 1052, 1052, 1026], 5: [1039, 2031, 3340, 3715, 1414, 2055, 2055, 3364], 6: [2033, 3340, 1053, 1036, 3144, 1042, 1042, 2055], 7: [3854, 2003, 2003, 3340, 3117, 1033, 2055, 2055], 8: [1055, 2003, 3340, 3070, 1037, 1001, 2003, 2003], 9: [1056, 2003, 2003, 3108, 1028, 2031, 2055], 10: [1039, 3340, 2031, 3706, 1036, 3133]}","{1: 6, 2: 8, 3: 7, 4: 7, 5: 6, 6: 8, 7: 6, 8: 7, 9: 8, 10: 7}"
"{1: [1039, 2031, 1041, 1401], 2: [1055, 3340, 2003, 1038, 1036, 1001], 3: [3858, 2003, 2003, 1052, 1004, 2055, 2055, 1001], 4: [2033, 1006, 3751, 2055, 1001], 5: [1036, 2003, 2003, 2003, 3340, 1036, 1001, 3020, 2031, 3364, 2055, 1052], 6: [1041, 2031, 3340, 3715, 1036, 1036, 3133, 2055, 1001, 2055], 7: [3340, 2033, 1028, 1036, 3057, 3101, 3044], 8: [3854, 2003, 2003, 3340, 3117, 3024, 2055], 9: [3340, 1056, 2003, 2003, 2031, 1027, 1028, 1026], 10: [1055, 2003, 3340, 3133, 2003, 1038, 1001]}","{1: 8, 2: 6, 3: 6, 4: 7, 5: 7, 6: 7, 7: 7, 8: 6, 9: 8, 10: 7}"
"{1: [1054, 2003, 3340, 3136, 1052, 2003], 2: [1039, 2031, 3340, 3706, 1036, 2055, 3364, 1036, 2055], 3: [3850, 2003, 2003, 3340, 1001, 1004, 1004, 2003, 2055, 2003, 1052], 4: [1056, 2003, 2003, 3340, 1027, 1056, 3070, 2055, 3802, 2055], 5: [1055, 2003, 3340, 3133, 3006, 2055], 6: [1027, 2031, 3340, 3070, 1001, 1027, 1052], 7: [1055, 3340, 2003, 1001, 1042, 2003, 3006, 3144, 2003], 8: [3854, 2003, 2003, 3340, 1028, 1001, 3117, 2055], 9: [1036, 2003, 2003, 2003, 3340, 3134, 3133, 1036, 1036], 10: [1041, 2003, 2055, 3340, 3133, 3715, 2055, 1412]}","{1: 8, 2: 6, 3: 5, 4: 8, 5: 6, 6: 7, 7: 6, 8: 6, 9: 8, 10: 7}"
"{1: [1056, 3340, 2003, 2003, 3802, 1026], 2: [3850, 2003, 2003, 3340, 3111, 3364, 2015, 2055, 2003, 1011], 3: [1056, 2003, 3340, 2003, 3802, 2055, 1052, 3030, 2055], 4: [2003, 3340, 1055, 1042, 2003, 1037, 1001, 2055, 3004, 2055, 1042], 5: [1041, 2031, 3340, 3715, 1036, 3364, 1036, 3133], 6: [2033, 3340, 3052, 2055, 1001, 1037, 1036], 7: [2033, 1082, 1001, 1052, 2055, 3145, 1028], 8: [1039, 2031, 3340, 3108, 1001, 1082, 1027, 3706, 1402, 2055], 9: [1055, 3340, 2003, 1001, 2003, 2003, 1038, 1042], 10: [3858, 2003, 2003, 3340, 2031, 2055, 1001, 2055, 2055]}","{1: 8, 2: 6, 3: 8, 4: 7, 5: 7, 6: 8, 7: 7, 8: 7, 9: 7, 10: 5}"
"{1: [1054, 2003, 3340, 3006, 1036, 2031, 1053, 2055], 2: [3340, 3850, 2003, 2003, 1001, 1029, 2055, 3117, 1028], 3: [2033, 3340, 3145, 1082], 4: [1041, 2031, 3340, 3364, 3706, 1001, 1052, 3020, 3108, 1027, 2055], 5: [1055, 2003, 3340, 3144, 1042, 1001, 2055, 2031, 3153], 6: [2033, 3340, 1083, 1001, 1036, 1042], 7: [1055, 2003, 3340, 3144, 2003, 3153, 2055], 8: [3850, 2003, 3340, 2003, 1001, 1004, 1052, 2003, 3009, 1004, 2055], 9: [1054, 2003, 3340, 1053, 1036, 2031, 3144, 1043, 2055], 10: [1039, 2031, 3340, 3706, 1001, 1036, 1036, 3364, 3133, 2055]}","{1: 6, 2: 6, 3: 8, 4: 7, 5: 8, 6: 6, 7: 7, 8: 7, 9: 8, 10: 8}"
"{1: [1036, 3340, 2003, 2003, 2003, 3155, 1036, 2003], 2: [3850, 2003, 2003, 3340, 1052, 2055, 2003, 3108, 2055, 1052], 3: [1055, 2003, 3340, 1053, 1001, 1036], 4: [2031, 1041, 3340, 3364, 3706, 1036, 1001, 1036, 2055], 5: [1056, 2003, 2003, 1056, 1001, 1028, 1029], 6: [1039, 2031, 3340, 1041, 1001, 3706, 3108, 3364, 1402, 1028, 3067, 2055], 7: [1056, 2003, 2003, 3340, 1001, 3191, 2003, 1027, 1052, 1052, 3802], 8: [3854, 2003, 2003, 3340, 1001, 2055, 3117, 3024, 2055, 2055, 3364], 9: [2003, 3340, 1055, 3006, 2055, 1053, 1043, 1036, 2055], 10: [2033, 3340, 1001, 1055, 1053, 3144, 1042, 1042]}","{1: 9, 2: 6, 3: 8, 4: 7, 5: 6, 6: 7, 7: 8, 8: 7, 9: 7, 10: 8}"
"{1: [1055, 2003, 3340, 1001, 2003, 2055, 3070, 2003, 3158, 2003], 2: [3850, 2003, 2003, 1052, 2055, 1001, 3113], 3: [2033, 3340, 1082, 1052, 3802, 2055], 4: [3340, 2033, 3144, 3153], 5: [1039, 2031, 3340, 2055, 3364, 3706, 1036, 2055, 3133], 6: [1036, 2003, 2003, 2003, 3340, 3133, 1001, 2031, 2055, 3067, 2055], 7: [3850, 2003, 2003, 3340, 1082, 1004, 3174, 3364, 2055, 2055], 8: [1055, 2003, 3340, 1053, 3153, 1036], 9: [1039, 2031, 3364, 3751, 1041, 2055], 10: [2033, 1082, 2055, 1001, 1033, 3111, 3067, 2055]}","{1: 6, 2: 5, 3: 8, 4: 9, 5: 6, 6: 8, 7: 6, 8: 7, 9: 7, 10: 8}"
"{1: [1054, 2003, 3340, 1036, 1001, 1053, 2031], 2: [1041, 2031, 3340, 3715, 3133, 2055, 1036, 2055, 1036, 2055], 3: [3854, 2003, 3340, 2003, 3067, 1001, 2055, 3024, 2055, 2055, 3364], 4: [1054, 2003, 3340, 3006, 1036, 1053, 2003], 5: [1036, 3340, 2003, 2003, 2003, 1036, 3077, 2003, 1036, 1028, 2031], 6: [3858, 2003, 2003, 3340, 1001, 2003, 2055, 3117, 1033, 2055, 3364, 2055], 7: [1054, 2003, 1036, 1036, 2031, 2055, 1028, 3077, 1028, 1036], 8: [1039, 2031, 3340, 1052, 2055, 1402], 9: [3340, 2033, 1082, 1001, 2055], 10: [1055, 2003, 3340, 1083, 2031, 2055, 1036, 1036, 1038]}","{1: 8, 2: 7, 3: 6, 4: 6, 5: 8, 6: 6, 7: 8, 8: 7, 9: 8, 10: 6}"
